depth,gate_count,num_qubits,cx_count,remote_gate_count,teleportation_count,profile,bell_fidelity,latency,waiting_time,link_loss,gate_error,readout_error,output_fidelity
12,65,7,2,1,1,Average,0.9602,43.93,21.97,0.0436,0.009952588482247282,0.012609470002657613,0.943039
12,65,7,2,1,1,Average,0.9602,43.93,21.97,0.0436,0.009952588482247282,0.012609470002657613,0.955595
6,21,6,1,1,1,Good,0.9755,10.86,5.43,0.0244,0.006128928703398984,0.006032658613929866,0.97154
6,21,6,1,1,1,Good,0.9755,10.86,5.43,0.0244,0.006128928703398984,0.006032658613929866,0.972126
15,63,5,1,0,0,Average,0.948,34.2,17.1,0.0512,0.01299545977969463,0.012967483493708878,0.992297
15,63,5,1,0,0,Average,0.948,34.2,17.1,0.0512,0.01299545977969463,0.012967483493708878,0.985882
17,59,6,4,2,2,Poor,0.9061,63.55,31.77,0.0901,0.02347643381213807,0.01788876440177276,0.977129
17,59,6,4,2,2,Poor,0.9061,63.55,31.77,0.0901,0.02347643381213807,0.01788876440177276,0.973199
14,60,7,1,0,0,Average,0.9347,49.42,24.71,0.0633,0.016335667475107812,0.009887048553195091,0.905236
14,60,7,1,0,0,Average,0.9347,49.42,24.71,0.0633,0.016335667475107812,0.009887048553195091,0.915244
10,50,8,1,0,0,Average,0.9657,21.37,10.68,0.0322,0.008564918591007942,0.014552716918365925,0.923901
10,50,8,1,0,0,Average,0.9657,21.37,10.68,0.0322,0.008564918591007942,0.014552716918365925,0.926586
9,39,7,2,1,1,Excellent,0.9947,7.87,3.94,0.0047,0.0013223203669862627,0.0013687273407801636,0.964776
9,39,7,2,1,1,Excellent,0.9947,7.87,3.94,0.0047,0.0013223203669862627,0.0013687273407801636,0.955074
14,33,4,1,1,1,Poor,0.9247,55.7,27.85,0.0752,0.018827502301550975,0.02365531734706227,0.971023
14,33,4,1,1,1,Poor,0.9247,55.7,27.85,0.0752,0.018827502301550975,0.02365531734706227,0.973164
19,40,4,2,1,1,Good,0.9865,17.76,8.88,0.0176,0.0033806291866732285,0.00418941253006955,0.997312
19,40,4,2,1,1,Good,0.9865,17.76,8.88,0.0176,0.0033806291866732285,0.00418941253006955,0.995865
19,80,8,1,1,1,Average,0.9722,37.06,18.53,0.0324,0.006952031100139672,0.007793868598198306,0.911075
19,80,8,1,1,1,Average,0.9722,37.06,18.53,0.0324,0.006952031100139672,0.007793868598198306,0.912746
8,26,5,2,2,2,Good,0.9819,10.03,5.01,0.019,0.00451799053528959,0.00416503715612411,0.992201
8,26,5,2,2,2,Good,0.9819,10.03,5.01,0.019,0.00451799053528959,0.00416503715612411,0.988726
