depth,gate_count,cx_count,remote_gate_count,teleportation_count,bell_fidelity,latency,waiting_time,link_loss,ideal_counts,noisy_counts,output_fidelity
8,16,1,0,0,0.933,7.62,24.7,0.069,"{'1000': 285, '1010': 111, '1011': 101, '0010': 121, '0000': 284, '0011': 122}","{'0111': 2, '0110': 3, '0101': 4, '1001': 4, '1101': 2, '1111': 7, '0001': 2, '0011': 118, '1011': 108, '1010': 130, '0010': 110, '0000': 284, '0100': 2, '1100': 2, '1000': 246}",0.9473
9,20,1,1,1,0.864,99.59,7.34,0.146,"{'1111': 3, '1010': 145, '1101': 24, '1001': 62, '1011': 90, '1110': 94, '1100': 56, '1000': 57, '0000': 134, '0010': 359}","{'0111': 1, '0101': 4, '1101': 17, '1111': 23, '1010': 122, '1001': 62, '1011': 68, '0011': 4, '0001': 5, '1100': 71, '0100': 25, '0110': 33, '1110': 96, '1000': 59, '0000': 123, '0010': 311}",0.8916
8,17,0,0,0,0.884,96.46,37.22,0.051,"{'1010': 6, '1001': 1, '0011': 105, '0110': 88, '0001': 320, '0010': 299, '0000': 114, '1100': 3, '1110': 3, '1000': 2, '0101': 83}","{'1001': 1, '1000': 3, '1011': 2, '1101': 2, '1010': 5, '0101': 69, '0100': 15, '1100': 2, '1110': 3, '0110': 76, '0011': 118, '0001': 305, '0000': 131, '0010': 275, '0111': 17}",0.9346
7,14,0,0,0,0.899,53.99,12.78,0.061,"{'1000': 488, '1100': 536}","{'0000': 1, '0110': 1, '1011': 1, '1001': 3, '0101': 4, '1010': 10, '0111': 5, '0010': 4, '0100': 4, '1100': 458, '1000': 504, '1110': 18, '0011': 1, '0001': 4, '1101': 6}",0.9238
11,26,0,0,0,0.953,75.83,44.14,0.071,"{'1000': 10, '0110': 9, '1010': 25, '0000': 29, '1100': 3, '0100': 100, '0011': 285, '0001': 38, '1110': 4, '0101': 74, '1001': 15, '1111': 72, '1101': 63, '0111': 269, '0010': 5, '1011': 23}","{'1001': 10, '1000': 13, '1110': 6, '1011': 23, '1111': 75, '1101': 71, '1010': 24, '0001': 45, '0011': 299, '0111': 246, '0101': 68, '0010': 18, '0000': 41, '0110': 11, '0100': 74}",0.9375
6,12,0,0,0,0.887,58.08,36.62,0.131,"{'1000': 340, '0000': 314, '0101': 193, '1101': 177}","{'0110': 1, '0111': 9, '1110': 8, '1010': 13, '1001': 16, '1011': 6, '0011': 2, '0001': 18, '0100': 7, '1100': 15, '1000': 293, '0101': 161, '0010': 10, '0000': 301, '1111': 4, '1101': 160}",0.8936
9,14,0,0,0,0.865,99.74,33.17,0.019,"{'0000': 93, '0001': 931}","{'1010': 2, '1110': 2, '0110': 2, '0101': 13, '1011': 10, '1001': 46, '0111': 4, '0001': 680, '0011': 40, '1111': 6, '1101': 26, '1000': 26, '0010': 18, '0000': 123, '1100': 7, '0100': 19}",0.7549
6,14,0,0,0,0.992,50.47,20.32,0.063,{'0101': 1024},"{'1011': 1, '0110': 1, '0000': 1, '1010': 1, '1000': 1, '0100': 15, '1100': 30, '1110': 13, '1001': 10, '0011': 2, '0001': 13, '0111': 28, '1111': 11, '1101': 48, '0101': 849}",0.8291
6,10,0,0,0,0.884,63.44,38.83,0.111,{'0000': 1024},"{'0110': 4, '0010': 12, '0111': 12, '1000': 41, '1011': 13, '1001': 28, '0001': 45, '0011': 8, '1111': 6, '1101': 8, '1010': 26, '1100': 12, '0100': 57, '1110': 2, '0101': 54, '0000': 696}",0.6797
7,17,0,0,0,0.929,40.06,11.54,0.19,"{'1000': 506, '0000': 518}","{'0011': 2, '0001': 7, '1011': 2, '1101': 5, '1111': 9, '1010': 4, '0111': 8, '1100': 11, '0100': 10, '0110': 5, '1110': 7, '1000': 464, '1001': 14, '0101': 4, '0010': 8, '0000': 464}",0.9062
9,20,0,0,0,0.863,10.5,46.43,0.003,"{'1001': 14, '1111': 8, '0111': 7, '1010': 10, '0001': 96, '0100': 367, '0010': 14, '0000': 508}","{'1011': 1, '0110': 7, '1110': 4, '1000': 22, '1010': 12, '1001': 25, '1101': 14, '1111': 8, '0111': 18, '0010': 18, '0000': 435, '0101': 24, '0011': 4, '0001': 109, '1100': 13, '0100': 310}",0.873
5,9,0,0,0,0.919,76.07,25.63,0.06,{'0000': 1024},"{'0011': 4, '0001': 7, '0100': 18, '0110': 14, '0010': 16, '0000': 965}",0.9424
7,13,0,0,0,0.882,30.55,11.73,0.052,"{'0101': 498, '0001': 526}","{'0010': 2, '1111': 10, '1101': 3, '1011': 4, '0000': 11, '1001': 4, '0110': 6, '0011': 9, '0001': 482, '0100': 13, '0111': 12, '0101': 468}",0.9277
9,17,1,0,0,0.928,47.31,33.33,0.125,"{'0001': 508, '0011': 516}","{'1110': 1, '0100': 2, '1100': 4, '1010': 18, '1000': 15, '0010': 14, '0000': 22, '0011': 403, '0001': 411, '1011': 33, '1001': 40, '1101': 16, '1111': 15, '0111': 18, '0101': 12}",0.7949
8,17,0,0,0,0.91,37.18,16.39,0.045,"{'1001': 3, '1111': 141, '1101': 8, '0010': 17, '0101': 133, '1011': 81, '0001': 131, '0011': 7, '0111': 4, '0100': 225, '1000': 15, '1110': 259}","{'0000': 12, '1000': 23, '1001': 11, '0101': 100, '1011': 98, '0010': 23, '1010': 8, '1110': 226, '0100': 199, '1100': 11, '0111': 19, '1101': 17, '1111': 142, '0110': 16, '0011': 14, '0001': 105}",0.8848
